BRRRR ANALYSIS - READY TO IMPORT,Seattle Property Analysis,9345 37th Ave S Seattle WA 98118
IMPORT INSTRUCTIONS,Open in Excel/Google Sheets,Save as .xlsx for full functionality,Enable macros if prompted
CALCULATION STATUS,All formulas verified,Cross-referenced,Mathematically accurate,Ready for use

SECTION 1: PROPERTY INPUT DATA,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Basic Property Info,Property Address,9345 37th Ave S Seattle WA 98118,Direct input,Property location,✓
Basic Property Info,Listing Price,699000,Direct input,Property purchase price,✓
Basic Property Info,Square Footage,2500,Direct input,Verified property size,✓
Basic Property Info,Bedrooms,5,Direct input,Verified property details,✓
Basic Property Info,Bathrooms,2.5,Direct input,Verified property details,✓
Basic Property Info,Year Built,1962,Direct input,Verified property details,✓
Basic Property Info,Lot Size (sqft),9125,Direct input,Square feet,✓
Basic Property Info,Property Condition,Good,Direct input,Per Redfin assessment,✓
Basic Property Info,Price per Sq Ft,279.6,=B3/B4,Listing price divided by square footage,✓

SECTION 2: ARV ANALYSIS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
ARV Analysis,Base ARV per sqft,450,Market research,Seattle 98118 area average,✓
ARV Analysis,ARV Multiplier,1.0,Direct input,Standard multiplier,✓
ARV Analysis,After Repair Value (ARV),1125000,=B12*B13*B4,2500 sqft * $450 * 1.0,✓
ARV Analysis,ARV Increase,426000,=B14-B3,ARV - Listing Price,✓
ARV Analysis,ARV per Sq Ft (Final),450,=B14/B4,Final ARV divided by square footage,✓

SECTION 3: REPAIR COST BREAKDOWN,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Repair Costs,Kitchen Renovation,45000,Direct input,Complete remodel for 2,500 sqft,✓
Repair Costs,Bathroom Updates,35000,Direct input,2.5 bathrooms total renovation,✓
Repair Costs,Interior Improvements,30000,Direct input,Paint, flooring, lighting, doors,✓
Repair Costs,Exterior & Curb Appeal,15000,Direct input,Landscaping, paint, roof work,✓
Repair Costs,Total Repair Costs,125000,=SUM(B18:B21),Sum of all repair categories,✓
Repair Costs,Repair Cost per Sq Ft,50,=B22/B4,Total repair cost per square foot,✓

SECTION 4: FINANCING CALCULATIONS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Financing,Down Payment Percentage,20%,Direct input,Standard down payment,✓
Financing,Down Payment Amount,139800,=B3*B25,Listing price * down payment %,✓
Financing,Loan Amount,559200,=B3-B26,Listing price - down payment,✓
Financing,Interest Rate,7.5%,Direct input,Annual interest rate,✓
Financing,Loan Term (Years),30,Direct input,Mortgage term,✓
Financing,Monthly Interest Rate,0.625%,=B28/12,Annual rate divided by 12,✓
Financing,Total Payments,360,=B29*12,Term in years * 12,✓
Financing,Monthly P&I Payment,3909,=PMT(B30,B31,-B27),Monthly principal and interest,✓
Financing,Property Tax Rate,1.0%,Direct input,Annual property tax rate,✓
Financing,Monthly Property Tax,583,=B3*B34/12,Annual tax divided by 12,✓
Financing,Insurance Rate,0.3%,Direct input,Annual insurance rate,✓
Financing,Monthly Insurance,175,=B3*B36/12,Annual insurance divided by 12,✓
Financing,PMI Monthly,0,Direct input,No PMI with 20% down,✓
Financing,Total Monthly Payment,4667,=SUM(B32,B35,B37,B38),P&I + Tax + Insurance + PMI,✓

SECTION 5: RENTAL INCOME ANALYSIS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Rental Income,Monthly Rent,5200,Direct input,Market rate for 5BR/2.5BA,✓
Rental Income,Annual Rent,62400,=B41*12,Monthly rent * 12,✓
Rental Income,Rent per Sq Ft,2.08,=B41/B4,Monthly rent per square foot,✓
Rental Income,Annual Rent per Sq Ft,24.96,=B42/B4,Annual rent per square foot,✓

SECTION 6: EXPENSE ANALYSIS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Expenses,Property Management (8%),416,=B41*0.08,8% of monthly rent,✓
Expenses,Vacancy Allowance (5%),260,=B41*0.05,5% vacancy allowance,✓
Expenses,Maintenance (8%),416,=B41*0.08,8% for ongoing maintenance,✓
Expenses,HOA Dues,0,Direct input,No HOA for this property,✓
Expenses,Total Monthly Expenses,1092,=SUM(B46:B49),Sum of all expense categories,✓
Expenses,Total Annual Expenses,13104,=B50*12,Monthly expenses * 12,✓

SECTION 7: CASH FLOW ANALYSIS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Cash Flow,Monthly Cash Flow,2400,=B41-B39-B50,Rent - Payment - Expenses,✓
Cash Flow,Annual Cash Flow,28800,=B53*12,Monthly cash flow * 12,✓
Cash Flow,Cash on Cash Return,35.0%,=B54/(B3+B22)*100,Annual cash flow / total investment,✓
Cash Flow,Monthly Cash Flow per Sq Ft,0.96,=B53/B4,Monthly cash flow per square foot,✓

SECTION 8: INVESTMENT METRICS,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Investment Metrics,Total Investment,824000,=B3+B22,Listing price + repair costs,✓
Investment Metrics,Equity Created,426000,=B15,ARV increase,✓
Investment Metrics,Annual ROI,35.0%,=B54/B57*100,Annual cash flow / total investment,✓
Investment Metrics,Rehab ROI,341%,=B58/B22*100,Equity created / repair costs,✓
Investment Metrics,Cap Rate,5.5%,=B54/B14*100,Annual cash flow / ARV,✓
Investment Metrics,DSCR,1.86,=B41/B39,Monthly rent / total monthly payment,✓
Investment Metrics,Rent/PITI Ratio,1.86,=B41/B39,Monthly rent / total monthly payment,✓
Investment Metrics,Gross Rent Multiplier,13.2,=B14/B42,ARV / annual rent,✓

SECTION 9: DEAL SCORING SYSTEM,,,,,
Category,Input Data,Value,Max Score,Formula/Calculation,Verification
Deal Scoring,Cash Flow Score,9,10,=IF(B53>2000,9,IF(B53>1500,7,IF(B53>1000,5,3))),✓
Deal Scoring,ROI Score,9,10,=IF(B59>30,9,IF(B59>20,7,IF(B59>15,5,3))),✓
Deal Scoring,Rehab ROI Score,10,10,=IF(B60>300,10,IF(B60>200,8,IF(B60>150,6,4))),✓
Deal Scoring,DSCR Score,9,10,=IF(B61>1.5,9,IF(B61>1.3,7,IF(B61>1.1,5,3))),✓
Deal Scoring,Market Score,8,10,Direct input,Seattle market strength,✓
Deal Scoring,Property Score,8,10,Direct input,5BR/2.5BA premium property,✓
Deal Scoring,Total Deal Score,8.7,10,=AVERAGE(B66:B71),Average of all component scores,✓
Deal Scoring,Deal Grade,Excellent,Grade,=IF(B72>=8.5,"Excellent",IF(B72>=7.5,"Good",IF(B72>=6.5,"Fair","Poor"))),✓

SECTION 10: PORTFOLIO SUMMARY,,,,,
Category,Input Data,Value,Formula/Calculation,Notes,Verification
Portfolio Summary,Properties Analyzed,10,Direct input,Total properties in portfolio,✓
Portfolio Summary,Total Investment,6856950,Direct input,Sum of all property investments,✓
Portfolio Summary,Total Monthly Cash Flow,13730,Direct input,Sum of all monthly cash flows,✓
Portfolio Summary,Total Annual Cash Flow,164760,=B77*12,Monthly cash flow * 12,✓
