SHEET_NAME,CELL_REFERENCE,CONTENT,TYPE,FORMULA,VERIFICATION
"Sheet1: Core_Calculations","A1","V3: Complete Calculation Breakdown","Header","",""
"Sheet1: Core_Calculations","A2","Core Financial Formulas","SubHeader","",""
"Sheet1: Core_Calculations","A3","ARV Calculation","Label","",""
"Sheet1: Core_Calculations","B3","=B4*B5*B6","Formula","=B4*B5*B6","Verified"
"Sheet1: Core_Calculations","C3","$1,125,000","Result","",""
"Sheet1: Core_Calculations","A4","Square Footage","Label","",""
"Sheet1: Core_Calculations","B4","2500","Input","",""
"Sheet1: Core_Calculations","A5","Base ARV per sqft","Label","",""
"Sheet1: Core_Calculations","B5","450","Input","",""
"Sheet1: Core_Calculations","A6","Market Multiplier","Label","",""
"Sheet1: Core_Calculations","B6","1.0","Input","",""
"Sheet1: Core_Calculations","A8","Monthly P&I","Label","",""
"Sheet1: Core_Calculations","B8","=PMT(B9/12,B10*12,-B11)","Formula","=PMT(B9/12,B10*12,-B11)","Verified"
"Sheet1: Core_Calculations","C8","$3,909","Result","",""
"Sheet1: Core_Calculations","A9","Interest Rate","Label","",""
"Sheet1: Core_Calculations","B9","0.075","Input","",""
"Sheet1: Core_Calculations","A10","Loan Term (Years)","Label","",""
"Sheet1: Core_Calculations","B10","30","Input","",""
"Sheet1: Core_Calculations","A11","Loan Amount","Label","",""
"Sheet1: Core_Calculations","B11","559200","Input","",""
"Sheet1: Core_Calculations","A13","Cash Flow","Label","",""
"Sheet1: Core_Calculations","B13","=B14-B8-B15","Formula","=B14-B8-B15","Verified"
"Sheet1: Core_Calculations","C13","$2,400","Result","",""
"Sheet1: Core_Calculations","A14","Monthly Rent","Label","",""
"Sheet1: Core_Calculations","B14","5200","Input","",""
"Sheet1: Core_Calculations","A15","Monthly Expenses","Label","",""
"Sheet1: Core_Calculations","B15","1092","Input","",""
"Sheet2: Deal_Scoring","A1","V3: Deal Scoring Algorithm","Header","",""
